"","DATETIME (LOCAL)","DATETIME (UTC)","DATE (LT)","DATE (UTC)","REGION","COUNTRY","INCIDENT TYPE","VESSEL TYPE","MAERSK?","VESSEL ACTIVITY LOCATION","LAT","LONG","TIMEZONE","TIME OF DAY","ATTACKS","ATTACK SUCCESS"
"110",2016-04-28 11:00:00,2016-04-28 09:00:00,2016-04-28,2016-04-28,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","TANKER","0","OFF SHORE",3.93333333333333,4.75,"Africa/Lagos","MORNING",1,0
"111",2016-04-27 09:45:00,2016-04-27 07:45:00,2016-04-27,2016-04-27,"SOUTH EAST ASIA","MALAYSIA","SUSPICIOUS ACTIVITY AT SEA","TUG","0","OFF SHORE",5.66666666666667,114.33,"Asia/Brunei","MORNING",1,0
"112",NA,NA,2016-04-26,2016-04-26,"MIDDLE EAST","YEMEN","COUNTER INSURGENCY/MILITARY OPERATION",NA,"0",NA,14.5171211111111,49.1631316666667,"Asia/Riyadh","UNKNOWN",1,1
"113",2016-04-25 19:00:00,2016-04-25 17:00:00,2016-04-25,2016-04-25,"NORTH EAST ASIA","CHINA","FAILED ATTACK, THEFT","BULK CARRIER","0","BERTH",35.35,119.533333333333,"Asia/Shanghai","EVENING",1,0
"114",2016-04-25 10:00:00,2016-04-25 08:00:00,2016-04-25,2016-04-25,"SOUTH EAST ASIA","SINGAPORE","THEFT AT ANCHORAGE","DREDGER","0","ANCHORAGE",1.15,103.9525,"Asia/Singapore","MORNING",1,1
"115",2016-04-25 02:00:00,2016-04-25 00:00:00,2016-04-25,2016-04-25,"WEST AFRICA","CONGO","THEFT AT ANCHORAGE","SUPPLY VESSEL","0","ANCHORAGE",-3.25,11.8333333333333,"Africa/Lagos","NIGHT",1,1
"116",2016-04-24 21:15:00,2016-04-24 19:15:00,2016-04-24,2016-04-24,"HORN OF AFRICA/ GULF OF ADEN","YEMEN","OTHER MARITIME RISK","TANKER","0",NA,14.4188888888889,49.1333333333333,"Asia/Riyadh","EVENING",1,1
"117",2016-04-23 01:45:00,2016-04-22 23:45:00,2016-04-23,2016-04-22,"NORTH EAST ASIA","CHINA","THEFT AT SEA","TANKER","0","ANCHORAGE",37.8347222222222,120.033333333333,"Asia/Shanghai","NIGHT",1,1
"118",NA,NA,2016-04-23,2016-04-23,"WEST AFRICA","NIGERIA","HIJACKING AT SEA",NA,"0","OFF SHORE",4.30875361111111,6.22856138888889,"Africa/Lagos","UNKNOWN",1,1
"119",2016-04-21 23:30:00,2016-04-21 21:30:00,2016-04-21,2016-04-21,"SOUTH AMERICA","PERU","FAILED ATTACK, THEFT","PRODUCT TANKER","0","ANCHORAGE",-11.9963888888889,-76.7744444444444,"America/Lima","EVENING",1,0
"120",2016-04-21 18:30:00,2016-04-21 16:30:00,2016-04-21,2016-04-21,"SOUTH EAST ASIA","PHILIPPINES","SUSPICIOUS ACTIVITY AT SEA","BULK CARRIER","0","OFF SHORE",10.6333333333333,120.566666666667,"Asia/Manila","EVENING",1,0
"121",2016-04-20 06:00:00,2016-04-20 04:00:00,2016-04-20,2016-04-20,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","SUPPLY VESSEL","0","OFF SHORE",3.65111111111111,6.11833333333333,"Africa/Lagos","MORNING",1,0
"122",2016-04-20 04:49:00,2016-04-20 02:49:00,2016-04-20,2016-04-20,"WEST AFRICA","NIGERIA","SUSPICIOUS ACTIVITY AT SEA","LNG TANKER","0","OFF SHORE",4.11666666666667,6.85,"Africa/Lagos","NIGHT",1,0
"123",2016-04-19 18:15:00,2016-04-19 16:15:00,2016-04-19,2016-04-19,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","CRUDE OIL TANKER","0","OFF SHORE",3.88333333333333,5.36666666666667,"Africa/Lagos","EVENING",1,0
"124",2016-04-19 15:30:00,2016-04-19 13:30:00,2016-04-19,2016-04-19,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","SUPPLY VESSEL","0","OFF SHORE",3.05166666666667,4.83333333333333,"Africa/Lagos","AFTERNOON",1,1
"125",2016-04-19 10:30:00,2016-04-19 08:30:00,2016-04-19,2016-04-19,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","SUPPLY VESSEL","0","OFF SHORE",3.61666666666667,4.75,"Africa/Lagos","MORNING",1,0
"126",2016-04-19 02:47:00,2016-04-19 00:47:00,2016-04-19,2016-04-19,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, THEFT","CHEMICAL TANKER","0","ANCHORAGE",3.93333333333333,98.75,"Asia/Jakarta","NIGHT",1,0
"127",2016-04-18 16:15:00,2016-04-18 14:15:00,2016-04-18,2016-04-18,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","PRODUCT TANKER","0","OFF SHORE",3.9,5.63416666666667,"Africa/Lagos","AFTERNOON",1,0
"128",2016-04-17 23:45:00,2016-04-17 21:45:00,2016-04-17,2016-04-17,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, THEFT","GENERAL CARGO VESSEL","0","OFF SHORE",1.5,104.866666666667,"Asia/Kuala_Lumpur","EVENING",1,0
"129",2016-04-16 03:42:00,2016-04-16 01:42:00,2016-04-16,2016-04-16,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, THEFT","PIPE-LAYER","0","OFF SHORE",1.40277777777778,104.566666666667,"Asia/Kuala_Lumpur","NIGHT",1,0
"130",2016-04-15 21:27:00,2016-04-15 19:27:00,2016-04-15,2016-04-15,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","BUNKER BARGE","0","OFF SHORE",4.64265055555556,8.33523277777778,"Africa/Lagos","EVENING",1,1
"131",2016-04-15 21:00:00,2016-04-15 19:00:00,2016-04-15,2016-04-15,"SOUTH EAST ASIA","MALAYSIA","KIDNAP/RANSOM AT SEA","TUG","0","OFF SHORE",4.56805555555556,119.95,"Asia/Manila","EVENING",1,1
"132",2016-04-15 13:20:00,2016-04-15 11:20:00,2016-04-15,2016-04-15,"HORN OF AFRICA/ GULF OF ADEN","SOMALIA","OTHER MARITIME RISK","MERCHANT VESSEL","0",NA,12.5683333333333,61.5844444444444,"Africa/Mogadishu","AFTERNOON",1,1
"133",2016-04-15 06:30:00,2016-04-15 04:30:00,2016-04-15,2016-04-15,"WEST AFRICA","TOGO","OTHER MARITIME RISK","CONTAINER SHIP","0","ANCHORAGE",6.08798388888889,1.26514444444444,"Africa/Abidjan","MORNING",1,1
"134",NA,NA,2016-04-15,2016-04-15,"WEST AFRICA","NIGERIA","ANTI-PIRACY/NAVAL OPERATION",NA,"0",NA,3.90323416666667,6.73324583333333,"Africa/Lagos","UNKNOWN",1,0
"135",2016-04-14 01:43:00,2016-04-13 23:43:00,2016-04-14,2016-04-13,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","BUNKER BARGE","0","OFF SHORE",4.64940027777778,8.33184222222222,"Africa/Lagos","NIGHT",1,1
"136",2016-04-14 00:50:00,2016-04-13 22:50:00,2016-04-14,2016-04-13,"WEST AFRICA","GHANA","FAILED ATTACK, THEFT","MERCHANT VESSEL","0","ANCHORAGE",4.9,-0.35,"Africa/Accra","NIGHT",1,0
"137",2016-04-13 02:30:00,2016-04-13 00:30:00,2016-04-13,2016-04-13,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","TUG","0","OFF SHORE",4.25,8,"Africa/Lagos","NIGHT",1,0
"138",2016-04-12 07:30:00,2016-04-12 05:30:00,2016-04-12,2016-04-12,"SOUTH EAST ASIA","INDONESIA","THEFT AT ANCHORAGE","CONTAINER SHIP","0","ANCHORAGE",-5.1,110.366666666667,"Asia/Jakarta","MORNING",1,1
"139",NA,NA,2016-04-12,2016-04-12,"SOUTH EAST ASIA","SINGAPORE","FAILED ATTACK, THEFT","BARGE","0","OFF SHORE",1.21348555555556,104.052886944444,"Asia/Jakarta","UNKNOWN",1,0
"140",2016-04-11 23:00:00,2016-04-11 21:00:00,2016-04-11,2016-04-11,"SOUTH AMERICA","COLOMBIA","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",3.86768,-76.9085922222222,"America/Bogota","EVENING",1,1
"141",2016-04-11 21:56:00,2016-04-11 19:56:00,2016-04-11,2016-04-11,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","CONTAINER SHIP","0","OFF SHORE",4.13333333333333,5.4,"Africa/Lagos","EVENING",1,1
"142",2016-04-11 01:30:00,2016-04-10 23:30:00,2016-04-11,2016-04-10,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","PRODUCT TANKER","0","OFF SHORE",2.8,6.68333333333333,"Africa/Lagos","NIGHT",1,1
"143",2016-04-10 11:50:00,2016-04-10 09:50:00,2016-04-10,2016-04-10,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","CRUDE OIL TANKER","0","OFF SHORE",3.33333333333333,5.41666666666667,"Africa/Lagos","MORNING",1,0
"144",2016-04-10 04:45:00,2016-04-10 02:45:00,2016-04-10,2016-04-10,"WEST AFRICA","NIGERIA","SUSPICIOUS ACTIVITY AT SEA","MERCHANT VESSEL","0","OFF SHORE",3.26666666666667,5.93333333333333,"Africa/Lagos","NIGHT",1,0
"145",2016-04-10 03:39:00,2016-04-10 01:39:00,2016-04-10,2016-04-10,"SOUTH EAST ASIA","PHILIPPINES","THEFT AT ANCHORAGE","VEHICLE CARRIER","0","ANCHORAGE",13.7556583333333,121.033630277778,"Asia/Manila","NIGHT",1,1
"146",2016-04-07 21:00:00,2016-04-07 19:00:00,2016-04-07,2016-04-07,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","MERCHANT VESSEL","0","OFF SHORE",3.33333333333333,5.33333333333333,"Africa/Lagos","EVENING",1,0
"147",2016-04-07 10:20:00,2016-04-07 08:20:00,2016-04-07,2016-04-07,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","CRUDE OIL TANKER","0","OFF SHORE",3.30166666666667,5.38583333333333,"Africa/Lagos","MORNING",1,0
"148",2016-04-06 23:06:00,2016-04-06 21:06:00,2016-04-06,2016-04-06,"SOUTH EAST ASIA","SINGAPORE","THEFT AT SEA","TUG","0","OFF SHORE",1.26944444444444,104.088888888889,"Asia/Singapore","EVENING",1,1
"149",NA,NA,2016-04-05,2016-04-05,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","LOCAL CRAFT","0","OFF SHORE",4.7,6.78333333333333,"Africa/Lagos","UNKNOWN",1,1
"150",2016-04-03 23:45:00,2016-04-03 21:45:00,2016-04-03,2016-04-03,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, THEFT","CONTAINER SHIP","0","ANCHORAGE",-4.01555555555556,106.900833333333,"Asia/Pontianak","EVENING",1,0
"151",NA,NA,2016-04-03,2016-04-03,"MIDDLE EAST","YEMEN","COUNTER INSURGENCY/MILITARY OPERATION",NA,"0",NA,14.5357327777778,49.1384125,"Asia/Riyadh","UNKNOWN",1,1
"152",2016-04-01 18:15:00,2016-04-01 16:15:00,2016-04-01,2016-04-01,"SOUTH EAST ASIA","MALAYSIA","KIDNAP/RANSOM AT SEA","TUG","0","OFF SHORE",4.13222222222222,118.938055555556,"Asia/Kuala_Lumpur","EVENING",1,1
"153",2016-04-01 11:45:00,2016-04-01 09:45:00,2016-04-01,2016-04-01,"WEST AFRICA","NIGERIA","FAILED ATTACK, KIDNAP/RANSOM","PRODUCT TANKER","0","OFF SHORE",3.9,5.7,"Africa/Lagos","MORNING",1,0
"154",2016-04-01 01:45:00,2016-03-31 23:45:00,2016-04-01,2016-03-31,"SOUTH EAST ASIA","INDONESIA","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",-0.249444444444444,117.568888888889,"Asia/Makassar","NIGHT",1,1
"155",NA,NA,2016-04-01,2016-04-01,"WEST AFRICA","CAMEROON","INSURGENCY OPERATION",NA,"0",NA,4.66146361111111,8.51758,"Africa/Lagos","EVENING",1,1
"156",NA,NA,2016-04-01,2016-04-01,"SOUTH ASIA","BANGLADESH","ANTI-PIRACY/NAVAL OPERATION",NA,"0",NA,21.5655019444444,90.0384522222222,"Asia/Dhaka","UNKNOWN",1,0
"157",2015-12-31 04:00:00,2015-12-31 03:00:00,2015-12-31,2015-12-31,"WEST AFRICA","NIGERIA","FAILED ATTACK, THEFT","SUPPLY VESSEL","0","BERTH",4.68333333333333,7.16666666666667,"Africa/Lagos","NIGHT",1,0
"158",NA,NA,2015-12-30,2015-12-30,"SOUTH ASIA","INDIA","THEFT AT ANCHORAGE","TANKER","0","ANCHORAGE",22.6166666666667,69.9166666666667,"Asia/Kolkata","UNKNOWN",1,1
"159",2015-12-29 06:10:00,2015-12-29 05:10:00,2015-12-29,2015-12-29,"WEST AFRICA","NIGERIA","FAILED ATTACK, THEFT","PRODUCT TANKER","0","BERTH",6.43602694444444,3.376545,"Africa/Lagos","MORNING",1,0
"160",2015-12-29 02:55:00,2015-12-29 01:55:00,2015-12-29,2015-12-29,"NORTH EAST ASIA","CHINA","FAILED ATTACK, THEFT","BULK CARRIER","0","ANCHORAGE",38.795,118.27,"Asia/Shanghai","NIGHT",1,0
"161",2015-12-27 22:00:00,2015-12-27 21:00:00,2015-12-27,2015-12-27,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, THEFT","BULK CARRIER","0","ANCHORAGE",-2.275,114.43,"Asia/Pontianak","EVENING",1,0
"162",NA,NA,2015-12-27,2015-12-27,"WEST AFRICA","NIGERIA","FAILED ATTACK, ROBBERY","PRODUCT TANKER","0","ANCHORAGE",5.44253861111111,5.06729138888889,"Africa/Lagos","UNKNOWN",1,0
"163",NA,NA,2015-12-25,2015-12-25,"SOUTH ASIA","BANGLADESH","KIDNAP/RANSOM AT SEA","GENERAL CARGO VESSEL","0","OFF SHORE",22.6630975,90.8163097222222,"Asia/Dhaka","MORNING",1,1
"164",2015-12-24 08:00:00,2015-12-24 07:00:00,2015-12-24,2015-12-24,"SOUTH ASIA","INDIA","THEFT AT ANCHORAGE","PRODUCT TANKER","0","ANCHORAGE",22.7666666666667,70.0333333333333,"Asia/Kolkata","MORNING",1,1
"165",NA,NA,2015-12-24,2015-12-24,"SOUTH ASIA","BANGLADESH","KIDNAP/RANSOM AT SEA",NA,"0","OFF SHORE",21.6165794444444,89.9505613888889,"Asia/Dhaka","UNKNOWN",1,1
"166",2015-12-23 14:00:00,2015-12-23 13:00:00,2015-12-23,2015-12-23,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","PASSENGER VESSEL","0","OFF SHORE",4.52156388888889,6.2467575,"Africa/Lagos","AFTERNOON",1,1
"167",2015-12-22 10:24:00,2015-12-22 09:24:00,2015-12-22,2015-12-22,"WEST AFRICA","NIGERIA","HIJACKING AT SEA",NA,"0","OFF SHORE",4.48157361111111,7.81888722222222,"Africa/Lagos","MORNING",1,1
"168",2015-12-22 03:20:00,2015-12-22 02:20:00,2015-12-22,2015-12-22,"SOUTH EAST ASIA","AUSTRALIA","THEFT AT ANCHORAGE","CONTAINER SHIP","0","ANCHORAGE",14.6210583333333,120.675888055556,"Asia/Manila","NIGHT",1,1
"169",2015-12-21 06:30:00,2015-12-21 05:30:00,2015-12-21,2015-12-21,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","PASSENGER VESSEL","0","OFF SHORE",4.50347888888889,6.81775805555556,"Africa/Lagos","MORNING",1,1
"170",2015-12-20 07:00:00,2015-12-20 06:00:00,2015-12-20,2015-12-20,"HORN OF AFRICA/ GULF OF ADEN","DJIBOUTI","SUSPICIOUS ACTIVITY AT SEA","MERCHANT VESSEL","0","OFF SHORE",13.0833333333333,42.95,"Africa/Nairobi","MORNING",1,0
"171",2015-12-19 04:30:00,2015-12-19 03:30:00,2015-12-19,2015-12-19,"SOUTH EAST ASIA","PHILIPPINES","THEFT AT ANCHORAGE","CONTAINER SHIP","0","ANCHORAGE",14.5833333333333,120.816666666667,"Asia/Manila","NIGHT",1,1
"172",2015-12-18 13:42:00,2015-12-18 12:42:00,2015-12-18,2015-12-18,"SOUTH EAST ASIA","PHILIPPINES","FAILED ATTACK, ROBBERY","BULK CARRIER","0","OFF SHORE",5.95,119.833333333333,"Asia/Manila","AFTERNOON",1,0
"173",NA,NA,2015-12-18,2015-12-18,"WEST AFRICA","NIGERIA","OTHER MARITIME RISK",NA,"0",NA,4.63829611111111,7.92663555555556,"Africa/Lagos","UNKNOWN",1,1
"174",2015-12-16 04:30:00,2015-12-16 03:30:00,2015-12-16,2015-12-16,"SOUTH EAST ASIA","VIETNAM","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",20.9908719444444,107.267417777778,"Asia/Ho_Chi_Minh","NIGHT",1,1
"175",2015-12-16 04:01:00,2015-12-16 03:01:00,2015-12-16,2015-12-16,"WEST AFRICA","CONGO","ARMED ROBBERY AT ANCHORAGE","GENERAL CARGO VESSEL","0","ANCHORAGE",-4.15333333333333,13.43,"Africa/Lagos","NIGHT",1,1
"176",2015-12-15 08:00:00,2015-12-15 07:00:00,2015-12-15,2015-12-15,"SOUTH EAST ASIA","VIETNAM","THEFT AT ANCHORAGE","CONTAINER SHIP","0","ANCHORAGE",10.2383333333333,107.023333333333,"Asia/Ho_Chi_Minh","MORNING",1,1
"177",2015-12-14 01:25:00,2015-12-14 00:25:00,2015-12-14,2015-12-14,"NORTH EAST ASIA","CHINA","ARMED ROBBERY AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",38.81,118.33,"Asia/Shanghai","NIGHT",1,1
"178",NA,NA,2015-12-14,2015-12-14,"WEST AFRICA","NIGERIA","ANTI-PIRACY/NAVAL OPERATION",NA,"0",NA,4.43639222222222,7.22562555555556,"Africa/Lagos","UNKNOWN",1,0
"179",2015-12-12 07:45:00,2015-12-12 06:45:00,2015-12-12,2015-12-12,"WEST AFRICA","COTE D'IVOIRE","SUSPICIOUS ACTIVITY AT SEA","TANKER","0","OFF SHORE",0.933333333333333,-6.78333333333333,"Africa/Abidjan","MORNING",1,0
"180",NA,NA,2015-12-12,2015-12-12,"SOUTH EAST ASIA","PHILIPPINES","THEFT AT ANCHORAGE","CONTAINER SHIP","0","ANCHORAGE",14.6545430555556,120.801544166667,"Asia/Manila","MORNING",1,1
"181",NA,NA,2015-12-11,2015-12-11,"WEST AFRICA","NIGERIA","ARMED ROBBERY AT SEA","PASSENGER VESSEL","0","OFF SHORE",4.52193916666667,7.00584416666667,"Africa/Lagos","EVENING",1,1
"182",NA,NA,2015-12-11,2015-12-11,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT BERTH",NA,"0","BERTH",5.51579722222222,5.72473527777778,"Africa/Lagos","UNKNOWN",1,1
"183",NA,NA,2015-12-09,2015-12-09,"SOUTH ASIA","BANGLADESH","KIDNAP/RANSOM AT SEA",NA,"0",NA,21.7492958333333,89.3298338888889,"Asia/Dhaka","UNKNOWN",1,1
"184",2015-12-08 13:54:00,2015-12-08 12:54:00,2015-12-08,2015-12-08,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, THEFT","CHEMICAL TANKER","0","ANCHORAGE",3.95166666666667,98.7883333333333,"Asia/Jakarta","AFTERNOON",1,0
"185",2015-12-08 04:20:00,2015-12-08 03:20:00,2015-12-08,2015-12-08,"NORTH EAST ASIA","CHINA","FAILED ATTACK, THEFT","BULK CARRIER","0","ANCHORAGE",38.7,118.8,"Asia/Shanghai","NIGHT",1,0
"186",2015-12-08 03:39:00,2015-12-08 02:39:00,2015-12-08,2015-12-08,"SOUTH EAST ASIA","INDONESIA","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",3.95277777777778,117.602777777778,"Asia/Makassar","NIGHT",1,1
"187",2015-12-08 00:20:00,2015-12-07 23:20:00,2015-12-08,2015-12-07,"NORTH EAST ASIA","CHINA","FAILED ATTACK, ROBBERY","BULK CARRIER","0","ANCHORAGE",38.7783333333333,118.393333333333,"Asia/Shanghai","NIGHT",1,0
"188",2015-12-05 01:38:00,2015-12-05 00:38:00,2015-12-05,2015-12-05,"WEST AFRICA","CONGO","FAILED ATTACK, THEFT","BULK CARRIER","0","ANCHORAGE",-3.235,11.7933333333333,"Africa/Lagos","NIGHT",1,0
"189",NA,NA,2015-12-05,2015-12-05,"EUROPE","TURKEY","ANTI-PIRACY/NAVAL OPERATION",NA,"0",NA,41.3005205555556,36.3425158333333,"Europe/Istanbul","UNKNOWN",1,0
"190",2015-12-04 21:00:00,2015-12-04 20:00:00,2015-12-04,2015-12-04,"SOUTH EAST ASIA","VIETNAM","ARMED ROBBERY AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",20.7,107.166666666667,"Asia/Ho_Chi_Minh","EVENING",1,1
"191",NA,NA,2015-12-03,2015-12-03,"SOUTH EAST ASIA","THAILAND","HIJACKING AT SEA","FISHING VESSEL","0","OFF SHORE",6.36197694444444,99.9817655555556,"Asia/Kuala_Lumpur","UNKNOWN",1,1
"192",2015-12-02 06:15:00,2015-12-02 05:15:00,2015-12-02,2015-12-02,"SOUTH ASIA","INDIA","ARMED ROBBERY AT ANCHORAGE","CRUDE OIL TANKER","0","ANCHORAGE",22.6633333333333,69.965,"Asia/Kolkata","MORNING",1,1
"193",2015-12-01 04:00:00,2015-12-01 03:00:00,2015-12-01,2015-12-01,"WEST AFRICA","CONGO","FAILED ATTACK, ROBBERY","TUG","0","ANCHORAGE",-3.25,11.8333333333333,"Africa/Lagos","NIGHT",1,0
"194",2015-11-26 23:00:00,2015-11-26 22:00:00,2015-11-26,2015-11-26,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","GENERAL CARGO VESSEL","0","OFF SHORE",4.03333333333333,6,"Africa/Lagos","EVENING",1,1
"195",2015-11-25 00:45:00,2015-11-24 23:45:00,2015-11-25,2015-11-24,"SOUTH ASIA","INDIA","FAILED ATTACK, ROBBERY","BULK CARRIER","0","ANCHORAGE",17.05,82.4,"Asia/Kolkata","NIGHT",1,0
"196",2015-11-23 07:00:00,2015-11-23 06:00:00,2015-11-23,2015-11-23,"HORN OF AFRICA/ GULF OF ADEN","SOMALIA","SUSPICIOUS ACTIVITY AT SEA",NA,"0","OFF SHORE",12.2176666666667,45.8146666666667,"Asia/Riyadh","MORNING",1,0
"197",NA,NA,2015-11-23,2015-11-23,"PACIFIC","NEW ZEALAND","OTHER MARITIME RISK","RESEARCH VESSEL","0","BERTH",-40.7136969444444,174.80999,"Pacific/Auckland","MORNING",1,1
"198",2015-11-22 15:05:00,2015-11-22 14:05:00,2015-11-22,2015-11-22,"HORN OF AFRICA/ GULF OF ADEN","SOMALIA","HIJACKING AT SEA","FISHING DHOW","0","OFF SHORE",6.26666666666667,53.5,"Africa/Mogadishu","AFTERNOON",1,1
"199",2015-11-21 13:09:00,2015-11-21 12:09:00,2015-11-21,2015-11-21,"HORN OF AFRICA/ GULF OF ADEN","SOMALIA","SUSPICIOUS ACTIVITY AT SEA","MERCHANT VESSEL","0","OFF SHORE",9.86966666666667,55.2666666666667,"Africa/Mogadishu","AFTERNOON",1,0
"200",2015-11-20 11:15:00,2015-11-20 10:15:00,2015-11-20,2015-11-20,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, ROBBERY","TUG","0","OFF SHORE",1.176,103.675833333333,"Asia/Singapore","MORNING",1,0
"201",2015-11-20 08:54:00,2015-11-20 07:54:00,2015-11-20,2015-11-20,"HORN OF AFRICA/ GULF OF ADEN","SOMALIA","OTHER MARITIME RISK",NA,"0","OFF SHORE",13.2,48.9686666666667,"Asia/Riyadh","MORNING",1,1
"202",NA,NA,2015-11-19,2015-11-19,"SOUTH ASIA","BANGLADESH","KIDNAP/RANSOM AT SEA","FISHING VESSEL","0","OFF SHORE",21.4499158333333,90.1833344444445,"Asia/Dhaka","UNKNOWN",1,1
"203",2015-11-18 23:00:00,2015-11-18 22:00:00,2015-11-18,2015-11-18,"WEST AFRICA","CONGO","FAILED ATTACK, ROBBERY","PRODUCT TANKER","0","ANCHORAGE",-3.25,11.8166666666667,"Africa/Lagos","EVENING",1,0
"204",2015-11-18 05:40:00,2015-11-18 04:40:00,2015-11-18,2015-11-18,"CARIBBEAN","HAITI","ARMED ROBBERY AT ANCHORAGE","GENERAL CARGO VESSEL","0","ANCHORAGE",18.5591666666667,-71.6128333333333,"America/Santo_Domingo","NIGHT",1,1
"205",2015-11-15 12:30:00,2015-11-15 11:30:00,2015-11-15,2015-11-15,"WEST AFRICA","NIGERIA","OTHER MARITIME RISK",NA,"0",NA,6.58039527777778,3.93688194444444,"Africa/Lagos","AFTERNOON",1,1
"206",2015-11-14 09:50:00,2015-11-14 08:50:00,2015-11-14,2015-11-14,"HORN OF AFRICA/ GULF OF ADEN","SOMALIA","OTHER MARITIME RISK","CONTAINER SHIP","0","OFF SHORE",-0.363333333333333,46.055,"Africa/Mogadishu","MORNING",1,1
"207",2015-11-14 05:40:00,2015-11-14 04:40:00,2015-11-14,2015-11-14,"SOUTH EAST ASIA","VIETNAM","ARMED ROBBERY AT ANCHORAGE","CONTAINER SHIP","0","ANCHORAGE",10.2333333333333,107.033333333333,"Asia/Ho_Chi_Minh","NIGHT",1,1
"208",2015-11-13 11:30:00,2015-11-13 10:30:00,2015-11-13,2015-11-13,"NORTH AMERICA","USA","FAILED ATTACK, ROBBERY","SUPPLY VESSEL","0","BERTH",29.1547961111111,-89.8145627777778,"America/Chicago","MORNING",1,0
"209",2015-11-13 02:15:00,2015-11-13 01:15:00,2015-11-13,2015-11-13,"SOUTH EAST ASIA","INDONESIA","ARMED ROBBERY AT BERTH","BULK CARRIER","0","BERTH",-5.89964666666667,106.806821944444,"Asia/Jakarta","NIGHT",1,1
"210",2015-11-12 07:19:00,2015-11-12 06:19:00,2015-11-12,2015-11-12,"SOUTH EAST ASIA","INDONESIA","THEFT AT ANCHORAGE","BULK CARRIER","0","ANCHORAGE",3.93333333333333,98.75,"Asia/Jakarta","MORNING",1,1
"211",2015-11-10 04:45:00,2015-11-10 03:45:00,2015-11-10,2015-11-10,"SOUTH EAST ASIA","VIETNAM","FAILED ATTACK, ROBBERY","CONTAINER SHIP","0","ANCHORAGE",10.25,107.05,"Asia/Ho_Chi_Minh","NIGHT",1,0
"212",2015-11-09 04:40:00,2015-11-09 03:40:00,2015-11-09,2015-11-09,"WEST AFRICA","GUINEA","THEFT AT BERTH","TUG","0","BERTH",9.5,-12.2833333333333,"Africa/Abidjan","NIGHT",1,1
"213",NA,NA,2015-11-08,2015-11-08,"WEST AFRICA","NIGERIA","KIDNAP/RANSOM AT SEA","FISHING VESSEL","0","OFF SHORE",4.33003027777778,7.09802638888889,"Africa/Lagos","MORNING",1,1
"214",2015-11-07 02:30:00,2015-11-07 01:30:00,2015-11-07,2015-11-07,"MIDDLE EAST","EGYPT","FAILED ATTACK, ROBBERY","CONTAINER SHIP","0","OFF SHORE",31.2,29.7333333333333,"Africa/Cairo","NIGHT",1,0
"215",2015-11-06 15:05:00,2015-11-06 14:05:00,2015-11-06,2015-11-06,"SOUTH EAST ASIA","INDONESIA","FAILED ATTACK, ROBBERY","CONTAINER SHIP","0","ANCHORAGE",3.79286722222222,98.7034908333333,"Asia/Jakarta","AFTERNOON",1,0
"216",NA,NA,2015-11-05,2015-11-05,"MIDDLE EAST","EGYPT","OTHER MARITIME RISK",NA,"0",NA,31.3815052777778,34.1518019444444,"Africa/Cairo","UNKNOWN",1,1
"217",NA,NA,2015-11-04,2015-11-04,"NORTH AFRICA","LIBYA","OTHER MARITIME RISK",NA,"0",NA,30.4035133333333,19.6123641666667,"Africa/Tripoli","UNKNOWN",1,1
